Age,Education,Geography,EstimatedSalary,Tenure
30,Bachelors,Germany,42933.26,3
29,Masters,Spain,117173.8,2
46,Masters,France,140130.22,7
58,Bachelors,Germany,5097.67,1
34,PHD,Spain,66695.71,9
39,Bachelors,Germany,96444.88,10
35,Masters,Spain,158420.14,4
32,Bachelors,Germany,53931.05,9
39,Masters,France,23305.01,7
48,Bachelors,Spain,7919.08,2
29,Bachelors,France,176943.59,2
36,Masters,France,61811.1,2
52,Masters,Germany,68367.18,6
41,Masters,France,102426.06,5
45,Bachelors,Spain,193412.05,4
49,Bachelors,Germany,171056.65,9
78,Bachelors,Germany,142566.75,4
41,PHD,Spain,92914.67,5
62,Masters,Germany,86920.97,5
32,Bachelors,France,23132.73,5
32,Bachelors,France,133292.94,8
32,Bachelors,France,75279.39,5
48,Masters,Spain,8908.0,1
33,Masters,France,66979.06,6
37,Bachelors,Spain,2186.83,1
40,Masters,France,158071.69,7
39,Bachelors,France,80963.92,9
38,Masters,Germany,49833.5,1
37,PHD,France,178291.89,1
29,Bachelors,France,10672.54,6
40,Masters,France,136985.08,6
40,PHD,France,128702.1,2
36,Bachelors,France,109127.54,5
29,Bachelors,Germany,141798.98,0
35,Bachelors,Spain,44335.54,2
92,Masters,France,34436.83,1
33,Bachelors,France,159840.51,2
25,Bachelors,Germany,35279.74,7
30,Bachelors,Germany,60485.98,1
52,Bachelors,Germany,162756.29,9
44,Masters,Germany,139297.71,5
37,Masters,Spain,147012.22,3
37,Bachelors,France,88669.89,1
49,Bachelors,France,179521.24,8
39,Bachelors,Germany,116511.12,1
29,Bachelors,Germany,96051.1,6
44,PHD,Spain,62424.46,8
47,Masters,France,74835.65,6
53,Bachelors,France,141501.45,5
21,Masters,Germany,164966.27,6
46,Bachelors,Germany,126952.5,4
20,Bachelors,Germany,118825.56,9
44,Masters,Spain,178045.97,6
34,Bachelors,Spain,39542.0,8
28,Bachelors,Spain,137173.39,8
20,Bachelors,France,150245.81,4
40,Bachelors,Spain,19842.22,1
42,Masters,France,88890.05,6
36,Masters,France,66810.48,3
74,Bachelors,France,51554.58,2
30,Masters,Germany,57896.27,1
46,PHD,Spain,96929.24,7
34,Masters,Germany,27097.82,9
41,Masters,Germany,9201.53,0
22,Bachelors,France,186233.26,4
52,Masters,Spain,98302.57,5
37,PHD,Germany,115638.29,6
30,Masters,Germany,129826.89,4
33,Bachelors,France,164119.35,10
39,Masters,Germany,31728.86,3
33,Masters,Spain,94670.77,3
42,Bachelors,Spain,167873.49,0
41,Masters,Spain,166694.93,4
41,Masters,France,97213.09,10
41,Bachelors,France,61018.85,7
