X,Y
1.78,7.81
2.07,6.62
1.61,14.04
1.99,20.69
2.49,13.84
2.1,18.63
1.74,18.26
2.2,17.57
2.14,14.92
1.41,21.92
1.53,20.65
1.99,9.62
1.93,19.99
2.23,15.19
1.46,10.8
2.3,15.65
1.71,18.17
1.37,12.08
1.85,14.98
1.38,33.99
2.02,21.47
1.7,25.79
1.76,2.89
1.88,17.43
1.63,18.8
0.99,21.41
0.94,13.61
2.75,17.25
1.59,21.91
1.93,19.51
1.92,19.1
2.3,17.92
2.52,16.21
1.11,10.96
2.19,6.18
2.87,25.97
1.81,21.67
1.91,14.45
2.55,12.05
2.48,4.47
1.79,21.36
2.52,12.01
1.59,18.2
1.37,12.65
1.68,18.65
2.08,23.27
1.54,11.78
1.99,24.65
2.34,17.86
1.47,22.15
1.74,13.63
2.7,1.72
2.15,14.27
1.92,10.2
2.21,24.31
2.48,22.24
2.03,19.81
2.76,24.91
2.03,17.32
2.14,20.44
2.39,23.62
1.76,11.09
1.65,10.01
2.08,20.03
1.82,7.09
1.8,15.75
1.42,4.08
1.66,18.63
1.42,19.67
1.79,20.54
2.95,27.99
2.92,28.29
1.49,18.86
3.22,18.07
1.09,15.74
2.01,19.01
1.4,8.6
2.77,19.85
2.28,14.65
2.58,13.99
1.78,9.88
1.41,9.88
2.53,11.83
1.89,15.14
2.5,20.1
2.4,19.47
1.33,30.41
2.71,23.21
2.2,5.75
1.68,17.27
1.44,
2.1,
2.09,
1.89,
2.28,
2.18,
2.05,
2.38,
1.54,
2.41,
3.26,
2.08,
2.4,
1.93,
2.46,
2.56,
1.85,
2.0,
2.08,
1.2,
1.93,
2.45,
1.93,
1.07,
2.25,
2.98,
2.5,
1.59,
2.05,
2.16,
2.23,
0.82,
2.38,
2.99,
1.26,
1.54,
1.26,
2.02,
2.32,
1.88,
1.27,
2.49,
1.73,
1.69,
2.52,
1.74,
1.69,
2.34,
