BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Corcoran Park Slope;House for sale;825000;2;2.0;1820.0;1666 73rd St;Brooklyn, NY 11204;1666 73rd StBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;73rd Street;1666 73rd St, Brooklyn, NY 11204, USA;40.6163169;-73.9981652
Brokered by JOSK REALTY LLC;Multi-family home for sale;599999;6;2.0;3490.0;919 Crescent St;Brooklyn, NY 11208;919 Crescent StBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Crescent Street;919 Crescent St., Brooklyn, NY 11208, USA;40.6649303;-73.8670719
Brokered by Corcoran East Side;Townhouse for sale;10999000;5;7.0;2184.207862;132 W 81st St;New York, NY 10024;132 W 81st StNew York, NY 10024;United States;New York;New York County;New York;West 81st Street;132 W 81st St, New York, NY 10024, USA;40.7836212;-73.9759437
Brokered by TREBACH REALTY INC;House for sale;2750000;4;;2184.207862;4570 Delafield Ave;Bronx, NY 10471;4570 Delafield AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Delafield Avenue;4570 Delafield Ave, Bronx, NY 10471, USA;40.8930548;-73.9067416
Brokered by BHHS Fillmore R.E.;House for sale;649000;3;2.0;1064.0;2051 E 73rd St;Brooklyn, NY 11234;2051 E 73rd StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 73rd Street;2051 E 73rd St, Brooklyn, NY 11234, USA;40.6215026;-73.9066372
Brokered by Howard Hanna | Rand Realty;Multi-family home for sale;989000;8;5.0;3960.0;3535 Ely Ave;Bronx, NY 10466;3535 Ely AveBronx, NY 10466;;New York;Bronx County;The Bronx;Ely Avenue;3535 Ely Ave, Bronx, NY 10466, USA;40.8807579;-73.8418489
Brokered by Promise Realty LLC;Condo for sale;357000;3;1.0;1100.0;5 Metropolitan Oval Apt 10F;Bronx, NY 10462;5 Metropolitan Oval Apt 10FBronx, NY 10462;New York;Bronx County;The Bronx;Parkchester;5;5 Metropolitan Oval #10f, Bronx, NY 10462, USA;40.8389829;-73.8601515
Brokered by Brown Harris Stevens - 1926 Broadway;Townhouse for sale;25000000;6;8.0;2184.207862;7 E 88th St Unit Townhouse;Manhattan, NY 10128;7 E 88th St Unit TownhouseManhattan, NY 10128;United States;New York;New York County;New York;East 88th Street;7 E 88th St, New York, NY 10128, USA;40.782683;-73.9586904
Brokered by LandSeAir Real Estate Group, Inc - Bronx Little Italy Office;Co-op for sale;119888;1;1.0;2184.207862;112-50 Northern Blvd Unit 5E;Corona, NY 11368;112-50 Northern Blvd Unit 5ECorona, NY 11368;New York;Queens County;Queens;Corona;112-50;112-50 Northern Blvd #5e, Corona, NY 11368, USA;40.7582228;-73.8559216
Brokered by Joyce Realty;Multi-family home for sale;1099999;4;2.0;2185.0;3186 Tierney Pl;Bronx, NY 10465;3186 Tierney PlBronx, NY 10465;United States;New York;Bronx County;The Bronx;Tierney Place;3186 Tierney Pl, Bronx, NY 10465, USA;40.8135939;-73.8019007
