Weight,Height
116.4621,64.86316
139.5891,67.91753
138.0376,67.84233
124.8913,69.38148
127.2921,66.94613
117.4689,67.45924
132.8246,69.99586
123.6045,67.45856
138.3749,64.09151
122.9717,66.37835
122.3759,70.12316
121.3154,67.34219
136.3431,70.14728
123.907,69.0379
107.5287,67.0297
130.1924,64.85652
109.5656,65.94007
115.9239,64.69116
109.5766,62.53019
124.236,67.78541
133.3359,68.27657
118.4802,65.93553
120.3425,67.48252
131.0862,67.80949
129.9862,70.04498
121.7657,66.0988
145.1821,67.87462
134.0519,65.04519
105.489,64.96125
112.1873,64.82767
137.1698,70.08844
142.7307,70.70944
123.4484,66.80032
120.8645,67.14141
135.9558,67.04259
148.4587,68.48662
144.881,72.31757
139.3578,66.47968
109.1264,66.82557
135.3785,70.06934
113.8089,67.217
148.5183,67.12457
144.8827,68.4131
114.9248,66.02919
114.9225,66.84654
122.8046,68.94666
133.5443,68.91853
131.9386,65.5914
120.6623,65.51261
145.653,69.27083
130.7801,69.57316
118.8413,67.86325
133.6214,72.33364
104.1953,67.21175
117.464,68.83481
145.8766,68.46136
135.6227,68.1713
129.1389,69.69391
149.7706,67.12571
134.1039,70.36279
143.9365,71.4732
132.4801,68.51565
149.4329,70.06817
132.5979,68.04516
133.6407,67.47227
147.4583,70.56501
100.025,67.64197
140.2179,72.23026
120.8849,67.45255
109.3834,66.97768
136.1833,67.28894
115.1345,66.02667
130.0889,64.15728
131.8054,67.78574
125.119,71.05897
149.0059,68.55136
129.2335,71.11228
120.5247,65.22518
123.2162,67.13777
117.4022,67.98084
106.9632,67.45039
119.6435,67.58732
134.1122,67.40106
129.9282,69.75732
130.1554,67.78374
106.8729,65.01631
126.6898,68.98708
115.7457,67.84236
130.1665,70.91418
110.8115,68.44803
119.8366,63.23903
113.1127,66.75371
118.4705,66.13148
135.6863,66.57052
111.4731,68.43743
129.3106,68.12826
116.9965,65.66194
128.6098,68.64587
137.8634,67.01908
135.486,66.3869
112.9047,67.43419
143.1287,67.0218
136.9279,70.98964
113.9935,64.47574
121.2945,66.48783
130.4347,68.28864
133.8865,66.11987
153.3002,68.73539
123.3522,67.61776
105.2183,65.99257
144.2173,71.79273
155.9849,69.76151
111.6875,67.65103
125.8154,64.82727
121.5078,68.38678
129.6506,68.35981
116.2672,67.56773
125.3254,67.70372
165.7172,70.42781
133.3637,66.27416
145.4779,68.61263
135.8348,69.9746
130.2342,69.38629
114.0297,63.38805
117.6173,68.40181
123.5651,65.89607
124.9826,66.25442
131.054,68.43563
152.1767,68.43069
118.6275,67.44333
112.2566,68.75899
127.7575,65.87903
120.4361,67.3794
104.816,67.20197
119.2446,71.72566
125.8377,68.326
131.3704,69.07214
125.35,70.39663
118.3351,68.46942
129.7989,70.75069
126.6471,68.25077
129.0352,69.4218
134.8437,67.75693
150.5262,68.78237
132.4508,68.93468
131.0136,64.36411
151.8922,69.45069
122.5303,68.70335
127.2585,69.17716
147.9296,73.32701
108.8242,69.01245
127.7629,65.2012
130.3,67.65215
124.4653,68.59028
159.2435,70.1527
130.4261,70.35282
144.1876,67.14863
136.8595,72.11654
105.9232,64.54112
131.888,68.94058
129.5985,68.18651
121.7006,72.69199
128.3129,68.2263
130.5713,70.40403
126.0176,65.32887
109.782,65.29057
109.7956,65.58939
128.021,65.28916
132.3785,69.91649
127.7981,66.59848
133.7892,69.24885
124.2264,68.81944
122.0913,68.79688
127.5538,67.19139
142.3945,68.40568
135.3762,70.58364
143.1102,68.401
139.016,70.95629
120.7675,69.85706
129.3528,65.61593
96.54815,65.39064
128.2412,67.95175
123.2307,70.05209
134.9267,68.18199
116.6928,68.79938
118.689,67.36607
125.7371,70.62204
158.2326,71.7953
117.0002,66.53015
134.3973,65.09768
128.8129,64.76077
130.8927,69.03578
109.9232,65.44403
110.353,66.15236
138.8793,69.55012
116.1101,64.92792
122.6048,67.75727
143.6487,69.05062
94.59876,64.93136
130.8536,70.18691
148.7955,67.72971
130.6884,67.32869
151.1615,69.70995
144.922,71.38761
132.6171,67.33116
120.6801,68.52212
117.236,70.20145
117.0805,66.58931
131.2609,69.02084
123.945,68.78726
120.0654,69.06258
126.9799,70.13521
136.3826,69.71943
131.2544,69.37398
132.3124,69.05735
132.6614,70.05472
133.09,68.34561
121.4611,67.52209
133.6073,70.0784
142.0494,68.1606
133.1326,66.76219
119.6178,67.39828
129.4479,69.23848
121.7897,63.37741
129.8267,68.52886
131.2149,66.21498
136.5157,66.87539
113.5019,67.37879
133.4427,66.66129
133.4736,68.08244
135.5212,65.97344
122.3441,65.8609
124.7005,67.68464
126.6651,69.1243
127.2719,71.24086
125.6317,69.075
128.9997,69.07254
121.7671,65.76779
142.9457,69.5003
129.2261,69.21009
128.9078,66.131
109.0055,66.45404
129.1382,65.43012
132.0082,68.37789
126.1872,69.25871
131.6865,68.55917
152.9133,69.82956
135.9443,68.56366
135.4161,69.89716
126.9908,67.22911
151.4986,68.27784
120.9284,67.70956
143.909,68.63497
148.3015,66.24494
98.38391,65.9282
134.6537,68.6507
91.26068,67.66363
129.1524,68.1538
116.3877,63.79264
128.8832,65.46251
135.3328,70.75386
119.843,66.29608
132.3032,66.17127
129.6479,70.22032
135.7889,68.38254
119.4445,68.72417
131.3376,69.03554
119.5137,69.23422
142.7779,68.75012
142.0977,68.70768
125.3087,67.9005
146.4574,69.60629
129.1352,66.8099
100.5445,65.01465
131.1702,67.35337
112.098,63.03599
117.0905,68.79753
132.2144,68.69337
123.5625,66.37421
123.9172,68.3918
123.8108,66.86315
130.3421,69.64423
128.7153,68.98795
131.4076,68.7025
110.9624,67.0616
120.8645,67.14099
127.8163,66.31361
140.4675,69.6794
117.5554,66.24529
138.8735,66.79284
132.5518,69.9798
144.968,68.20436
141.1958,67.80794
146.9498,71.49761
136.9644,71.80853
137.1286,67.83517
129.0216,68.34113
117.0247,69.08567
141.0586,66.75809
126.6997,65.40628
119.8531,65.53954
111.6993,69.0588
117.9009,67.7959
118.7488,71.39265
131.8821,66.70088
140.8053,69.67472
138.6932,69.23373
143.1101,70.9753
129.5612,67.65321
117.7563,65.60536
135.7928,67.32889
128.0812,69.521
121.5679,67.66563
130.5827,67.22662
118.4574,67.13201
119.473,67.2819
116.4503,66.45431
142.5478,68.42039
122.8747,67.14612
113.4143,62.98619
131.0824,63.66845
104.5026,65.28612
106.3191,64.30048
103.9913,66.10993
125.8579,65.91527
125.7767,67.82866
131.063,69.87356
112.8657,66.24116
121.3259,66.05187
119.5436,65.53557
144.1403,67.6665
119.0695,68.3058
137.7395,70.74075
122.4245,67.06837
145.2255,69.88488
141.3037,69.24424
115.4675,68.25133
138.4092,67.09232
112.7855,69.06273
131.4942,68.33125
134.7967,68.94119
115.4751,69.59518
157.5443,71.28803
127.2222,66.42491
131.8311,68.63305
111.216,66.21553
116.7243,67.47736
86.49925,64.51185
126.9632,67.33792
125.8066,67.41203
126.1505,67.89703
122.4771,65.08935
139.0572,70.58024
124.0146,70.26786
138.602,68.09574
133.2217,70.04702
115.3322,67.1535
127.5807,67.87558
144.0286,72.24161
131.3894,70.21055
134.0195,68.77272
122.9673,68.96749
111.7026,66.95136
132.0676,69.70156
93.09256,64.13956
153.1117,71.56149
153.6386,68.86042
127.4353,66.79593
113.8478,64.54504
142.7425,70.00599
145.2462,69.19904
140.8653,69.09444
105.4341,67.19525
105.7521,67.96947
139.9395,70.02533
122.6013,66.87761
131.0252,64.45014
135.3378,68.24912
152.8499,70.07101
113.9803,66.9759
140.2859,70.36787
146.4581,68.6591
141.0113,69.95361
128.0158,68.48425
164.5588,71.25946
130.3115,67.80922
117.3091,63.58671
135.3097,67.40848
128.4742,68.20701
124.929,68.89247
117.8305,66.05981
123.4769,65.66067
133.3201,69.39748
108.8612,65.92174
102.3802,64.78001
117.6786,67.59062
149.2434,71.00127
121.6221,69.48254
159.2052,68.48246
133.6355,68.09616
122.3265,69.48115
141.2895,70.50577
140.0531,69.5883
124.1149,69.31491
139.9906,68.39399
94.80998,62.23548
148.2548,69.8972
146.5246,68.06989
111.1013,69.12319
126.322,69.95192
137.8815,67.93156
130.0449,69.32167
141.5919,66.67312
123.8124,67.96604
130.9459,69.19829
114.9747,68.15828
116.2177,68.03235
102.8575,68.43761
103.4353,67.34517
127.6291,68.64435
112.7336,64.83459
111.5238,64.11121
101.0851,67.52032
128.6718,66.72676
132.1914,68.76169
123.0143,68.50268
122.898,67.35174
123.7642,66.64565
120.5121,67.11109
140.0124,67.92539
116.2137,65.7078
138.142,67.65793
134.1922,68.60162
130.9022,69.30603
137.4821,67.1095
103.921,65.59186
139.2905,67.66742
112.1105,68.63966
92.20107,64.7652
120.6972,67.60131
126.8577,67.31966
122.8182,66.51157
135.7746,69.93026
131.5309,67.60868
121.011,65.7309
118.9762,67.29622
120.7153,66.84201
137.0166,67.91374
109.9667,65.33921
127.3581,67.10739
131.2489,66.39279
118.5557,65.77143
122.4064,66.08581
136.8644,67.95467
113.5932,63.31058
123.0639,70.10242
130.3103,69.72937
118.9278,67.62461
111.379,69.23113
116.0054,67.38459
146.7535,70.68647
141.3565,71.42291
112.7169,68.60167
120.2538,65.01908
137.5639,68.22216
122.2857,66.18504
122.5287,67.34507
134.646,69.8637
121.5066,68.63027
130.7259,69.01165
116.8032,68.57992
135.12,70.02954
130.8429,67.8609
128.6312,67.071
121.6315,67.25316
138.1129,68.45752
110.8231,66.08131
104.7464,65.5926
118.8964,68.56861
143.2327,69.69795
108.3892,66.67277
99.81074,61.59011
114.1857,65.40277
127.5778,68.44756
118.4245,66.73714
154.2642,72.205
121.7574,68.46802
142.4799,70.10294
112.2608,66.48949
121.4096,67.19112
121.375,65.22879
127.1951,67.00396
107.6196,67.72317
152.4262,70.09165
128.1418,66.07538
146.0408,66.91173
117.6621,68.65328
135.4845,67.75543
131.4949,66.36233
127.833,67.6272
123.405,68.21944
136.8255,67.57571
137.789,67.02379
141.6039,67.57237
109.4063,65.6522
102.5063,65.44991
163.8992,70.32828
118.9012,69.08622
126.7698,68.33335
134.6024,66.29224
120.86,68.16586
136.2559,66.04152
147.5044,70.48553
125.5265,66.67757
115.3878,66.65461
140.8728,69.63744
108.0794,67.68649
98.00565,66.58507
119.2853,68.3482
112.4171,68.92806
146.0566,68.53403
133.3801,71.3806
152.4782,70.11959
130.2875,66.25934
155.4037,69.53489
139.8139,67.46936
119.1722,66.51039
138.286,69.92009
107.2949,67.79021
108.3566,66.83271
117.9595,70.99707
130.0104,66.68384
105.6657,65.32131
115.0555,67.3587
103.6805,64.04389
117.0895,67.25724
129.5163,70.83582
129.1965,69.2102
119.2019,65.91382
128.3612,68.89983
133.2154,68.6346
121.3485,65.36955
109.8669,66.25718
130.5783,69.18027
118.921,69.53816
122.2455,66.66547
131.5557,69.35299
103.7061,65.99078
134.4433,67.55311
130.1628,65.95292
109.4178,69.74893
120.4415,68.13165
114.9703,64.53068
132.643,65.95702
120.3263,70.27411
132.9732,68.30787
136.795,69.93158
128.7979,68.76325
142.8603,68.68206
133.13,68.32988
143.2981,68.04129
117.0683,67.9522
118.3454,65.7157
124.3554,72.12643
118.7239,66.79918
123.5892,67.49036
126.7582,66.88022
137.6865,68.25984
130.5098,66.6257
113.9842,64.15701
110.9035,65.30643
146.3799,71.83145
128.2374,68.43502
115.6001,64.79043
129.4057,69.24446
125.6591,70.28435
126.8912,72.99453
131.3277,70.41651
132.5054,65.79611
129.3703,69.49913
110.5038,65.87009
106.2354,65.0852
129.5963,70.61194
131.9176,71.39877
122.9437,66.29704
121.4597,65.64143
138.3473,69.78249
135.247,68.32625
100.8881,69.02806
122.2625,68.87437
119.0778,66.7959
139.7986,68.62814
136.2042,71.19139
122.3825,65.4116
134.2696,68.84184
123.1216,68.8806
127.6449,65.73631
131.7523,69.30987
114.2796,64.15534
133.7642,72.89442
142.6604,66.41814
119.2969,65.886
131.9619,69.06664
125.9612,67.96217
131.3237,68.68041
118.9934,68.515
127.9334,67.37231
114.3381,63.67556
123.8141,65.76516
137.0437,68.71711
119.3894,69.62402
107.8753,66.8157
123.3058,64.54403
116.9408,68.37687
120.4639,67.70961
107.1216,69.79282
134.1242,70.33109
142.3554,71.11525
131.8652,70.50683
117.8718,67.3265
134.2731,70.37423
136.6499,68.93535
139.4778,68.74748
126.7884,66.31697
137.7632,67.96141
125.7112,68.02516
134.6283,68.54611
142.811,73.72628
124.8609,66.30109
134.2394,69.84513
112.6472,66.34608
120.5706,69.22406
126.6356,65.20241
122.2711,68.16207
114.6814,66.17376
137.7805,65.82561
122.7935,70.49243
129.0675,66.86335
121.8091,69.00819
139.8642,69.09268
137.6952,68.4858
124.648,70.05821
136.3251,63.92011
124.9316,69.10662
124.5664,68.37383
147.8495,67.81685
121.062,68.35014
134.3163,66.20868
145.8658,69.82296
128.6599,69.83591
148.3039,70.09777
118.5265,65.74923
121.1303,67.2496
106.3264,67.01302
142.5205,67.86604
143.2796,69.51352
119.9716,68.79671
142.1026,71.3044
130.4,68.74348
129.4293,68.21948
128.4835,72.8674
113.0689,67.8235
116.4099,65.2038
115.4541,64.55504
121.7866,68.46274
114.1458,66.08879
109.2672,66.53332
102.657,66.75524
130.9008,68.20629
141.8457,69.60968
138.0014,65.68272
122.4759,66.5195
120.175,63.30338
115.3758,67.19227
115.1326,64.59287
134.6538,67.61165
123.5377,69.54174
133.2865,72.4977
135.2291,68.60441
118.0737,68.26375
125.0585,66.51715
134.2382,66.7498
126.5512,68.57715
118.1801,68.15554
116.6818,67.67131
149.0548,69.25188
122.7405,67.63059
128.8346,70.5553
122.1635,66.51049
134.2863,70.06291
140.8941,68.95425
115.7462,67.76337
122.7829,66.16295
148.6758,70.23017
128.1767,66.85157
135.2626,69.98998
129.3778,69.57826
113.7661,67.82307
118.1876,66.16931
119.7272,64.97487
111.0794,66.75172
122.6207,67.03147
149.449,70.78522
127.2521,69.08702
140.5165,66.56877
103.6644,65.65581
129.1403,69.91828
143.8415,68.10072
115.4829,65.21574
131.1892,65.92987
134.2093,66.78368
137.8539,66.63773
136.2478,70.115
145.386,71.87742
143.8422,69.37969
120.5931,67.09682
122.8529,68.90441
124.496,67.59411
107.3653,69.73864
136.4277,66.47251
149.0714,68.96672
137.1885,69.183
137.31,69.12592
139.6149,67.06716
116.7063,66.43504
133.7463,68.03354
134.2961,70.66473
118.338,66.95512
144.4866,71.13236
120.6126,64.10697
145.1667,69.43162
113.2283,67.23457
112.7536,70.20178
123.1815,65.73987
121.9317,66.55121
119.4187,67.72679
132.9604,71.22324
127.4027,64.72674
122.3824,67.36195
132.2244,68.42406
124.3983,69.81064
111.3963,70.14812
123.1817,66.31497
103.6091,67.25945
123.5493,66.24777
142.1095,67.13633
129.7913,68.44022
136.4478,72.07034
120.6969,68.48039
122.3988,67.12369
138.1901,67.94203
119.8895,68.01522
110.6977,67.83753
131.6536,67.08281
125.3077,66.13397
138.519,70.17398
139.2637,73.12686
132.4121,66.29478
128.3885,67.48723
127.6618,63.84013
137.9139,71.23226
131.205,68.93456
126.5417,65.31508
144.8666,72.89094
123.4989,66.85445
129.7462,67.71429
145.3356,66.99515
115.2889,62.48643
119.9549,68.4545
112.1502,66.18029
127.8367,68.29449
137.6326,68.5935
121.9201,68.13211
131.9945,70.55532
135.8511,71.26895
133.3027,70.71689
123.0711,68.27433
125.7077,65.85545
130.9707,67.19789
143.7162,69.03473
138.1647,70.96078
146.7285,68.99354
133.1515,66.75706
123.5134,67.73694
129.2444,68.31951
121.9078,66.24969
128.4009,68.70678
140.9392,68.0356
137.3493,68.96343
129.5348,67.50309
131.0273,65.02611
146.3213,70.0671
97.06459,65.36984
119.8514,66.73719
124.1159,68.25009
144.9636,68.91447
117.0746,69.42874
126.7865,69.11436
112.9692,67.99857
141.588,70.26098
124.0298,68.64432
125.5482,66.17354
122.1783,70.00471
118.2902,66.31189
116.5597,65.90206
116.5077,68.25885
147.473,70.75448
131.7851,67.08351
132.2825,67.02122
134.3807,70.51041
119.8518,67.60778
136.1642,68.83486
114.5097,64.254
138.2213,71.91722
133.2127,67.82529
126.5382,66.34443
129.8661,69.22459
122.7073,65.53683
111.8648,66.65738
128.2887,69.74106
120.5732,68.77304
122.1059,67.66713
145.6585,71.04389
116.155,67.97438
137.4236,69.01111
137.894,70.97446
114.8329,66.09937
136.3654,68.2026
148.7839,71.18778
118.7125,70.10012
118.3544,67.40562
152.5436,71.0495
128.9651,69.10354
124.5497,66.99674
118.077,67.55177
100.3573,66.04561
120.8445,69.97684
136.3666,69.59421
129.3228,69.50004
129.9114,66.70728
116.261,67.74378
137.5933,69.52156
106.9772,68.65583
118.7891,66.58063
127.0282,67.31123
135.7681,69.21023
127.8121,69.76802
127.9637,71.36846
121.4664,64.91466
100.2395,65.91717
115.6267,68.79172
124.0965,66.86831
124.2217,68.85311
112.2167,64.99322
132.5438,70.31634
107.1524,65.07995
119.8364,68.55692
123.5259,65.03755
134.4521,68.97846
125.5112,68.1677
133.5386,70.25241
133.3158,68.35771
144.3195,71.59998
140.8419,67.62775
147.5959,71.9168
114.7572,64.91759
117.7686,68.03944
140.7958,68.83719
134.2855,68.42447
110.2144,67.19277
107.3158,67.95936
122.8845,69.13031
118.2503,66.53698
125.8938,69.3362
127.4892,69.66919
153.3295,69.32642
124.592,71.67815
106.8565,66.81763
133.7046,67.96098
124.6664,70.27599
132.0587,70.83387
138.0874,71.95684
130.3727,65.53739
118.1746,67.20098
134.8257,66.84158
123.7257,72.22081
128.9637,68.23933
151.0629,69.34904
126.6496,67.54027
114.8614,66.55953
133.6709,69.42919
137.1665,68.77479
139.5681,67.11564
127.7704,69.7283
119.206,69.71847
131.5259,67.00926
124.1454,70.23583
140.9604,68.05243
111.675,66.81973
131.6378,64.33826
133.7032,69.21901
133.0611,70.30269
115.596,67.7681
127.7475,68.28813
136.774,70.67229
135.1199,67.56648
117.4256,68.2033
128.3953,70.82652
124.6462,68.76882
140.4212,66.21644
129.9599,69.94665
116.1417,66.82673
138.8435,70.62106
131.9172,65.96267
120.174,68.32852
117.9655,68.14281
132.2259,67.68342
100.38,62.29058
112.8575,66.56289
127.3499,67.53601
128.0357,69.9728
148.2612,71.62721
118.697,68.87831
125.1128,68.90985
126.9495,68.48804
116.0879,64.492
130.1563,68.05258
128.6877,70.97223
124.8016,67.73294
122.3703,64.42714
121.6673,66.89249
126.211,72.00652
127.3033,67.8034
133.3873,70.31843
136.3986,69.6285
112.0078,68.90652
146.1389,71.01122
126.0906,69.03379
100.7711,64.16792
132.1034,67.46005
142.7429,66.31981
119.2652,61.4055
123.567,69.07292
129.2791,69.04136
130.0454,65.63933
146.821,68.98367
102.0192,67.08789
122.3346,66.9645
113.4712,64.88959
134.5754,70.18743
136.6864,70.24701
127.6595,68.65855
112.9117,66.65856
139.8524,70.81437
100.8983,62.86676
134.0086,70.1981
134.1832,67.74387
124.2984,67.78774
113.8397,66.8155
126.8411,70.47312
138.4671,67.28529
135.8226,67.63923
134.1394,69.54133
147.1709,72.09163
124.7091,69.40312
128.6304,66.90419
126.6038,64.77967
117.6067,67.71305
131.2976,67.98558
130.2718,67.39091
123.9308,66.59739
111.1245,66.03491
150.9399,71.32563
138.5366,70.89299
123.6542,69.29039
135.4202,72.50612
131.7184,66.39209
148.9964,70.22429
129.818,70.61033
113.7404,67.43213
142.8879,67.08964
133.248,69.52539
123.5309,64.80112
131.3393,69.50292
138.7052,68.89136
121.5695,69.82676
134.9518,66.19549
107.9783,67.74861
122.5054,66.53997
140.5876,67.32858
113.4278,65.01159
115.1244,68.85847
126.9035,67.21657
122.0827,68.82472
117.6941,68.38527
112.418,67.5943
110.7359,67.82269
134.7077,67.83166
124.513,66.31882
100.1673,66.99476
