obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
0,1.2376651269456535e+18,217.745056232649,29.2891857602733,24.64345,21.29342,19.48652,18.69032,18.17628,4576,301,1,636,6.775870525208287e+18,GALAXY,0.4455302,6018,56067,745
1,1.2376677350291543e+18,144.926388341319,17.5490884894075,24.45473,22.23065,20.41583,19.56741,19.05893,5183,301,3,96,5.986608916951489e+18,GALAXY,0.465082,5317,56000,724
2,1.2376662146106007e+18,19.1186328069825,23.0639197004519,24.75235,22.72556,20.89741,19.6297,19.05725,4829,301,3,94,5.771597492702697e+18,GALAXY,0.6733606,5126,55923,853
3,1.237651250440963e+18,244.272887206595,46.8929028089397,23.29029,24.12064,21.84209,20.77941,19.94175,1345,301,2,602,9.608682000660847e+18,GALAXY,0.7734839,8534,57905,917
4,1.2376802430639803e+18,6.77538221786662,-6.89929651966378,25.19726,21.68553,21.17727,21.37603,20.95483,8095,301,5,345,8.051532995633633e+18,QSO,3.197507,7151,56598,810
5,1.237665530650952e+18,243.237979579741,14.2920353622515,17.50534,16.06866,15.31882,14.92313,14.62936,4670,301,1,306,2.845294001903397e+18,GALAXY,0.03080718,2527,54569,527
6,1.2376575892469192e+18,174.495829154757,53.6617677730083,23.21277,21.87085,21.49179,21.15237,20.92271,2821,301,1,161,7.540229849144907e+18,QSO,2.466068,6697,56419,284
7,1.2376662108564375e+18,272.129520222921,23.9156334309079,22.56454,21.01826,20.38719,20.13733,19.84982,4828,301,4,154,2.471502648914766e+18,STAR,-0.0002054647,2195,54234,554
8,1.2376788944268828e+18,22.8285019688731,34.3150710388669,23.89798,20.91523,19.18081,18.56962,18.09557,7781,301,5,80,7.43334357757987e+18,GALAXY,0.3389896,6602,56571,554
9,1.23766378312047e+18,352.751664760501,-0.793277067023643,18.72689,17.63683,17.14432,16.95468,16.85622,4263,301,2,67,3.5376578510885765e+18,STAR,-0.000183705,3142,54735,292
10,1.237665127459324e+18,155.636237674036,30.7354758861007,22.48542,21.62254,20.25691,19.32961,18.81824,4576,301,2,282,7.26774860184947e+18,GALAXY,0.6193613,6455,56370,235
11,1.2376613870754867e+18,235.745199231796,44.616860861635,22.77605,22.18074,20.47553,19.21189,18.64899,3705,301,3,218,6.80183549288542e+18,GALAXY,0.6192833,6041,56102,997
12,1.237661353779528e+18,178.579380395456,57.964144549337,20.64296,20.65442,20.49579,20.39378,20.80244,3697,301,5,66,9.27415944051244e+18,STAR,6.178476e-07,8237,58162,443
13,1.2376577701667804e+18,133.225507497606,43.3988358558548,22.9139,21.91209,20.54827,19.87743,19.37568,2863,301,2,75,7.187770400805509e+18,GALAXY,0.3748302,6384,56363,92
14,1.2376785959462505e+18,7.38793098478374,1.47295776631036,22.23513,22.10592,21.8944,21.65111,21.69121,7712,301,1,379,8.856566828966893e+18,QSO,1.249515,7866,57002,866
15,1.2376709616241216e+18,37.7232147166542,26.3814810000268,20.42719,19.4213,18.9505,18.78164,18.7147,5934,301,5,108,2.7011416918044447e+18,STAR,0.0003343911,2399,53764,392
16,1.2376582050412639e+18,160.442352722956,47.5957281275976,23.87261,23.39902,21.40815,20.44655,19.72972,2964,301,4,213,8.319521090708986e+18,GALAXY,0.5965173,7389,56769,897
17,1.2376529490699223e+18,17.0672222797088,-8.679825507993,19.40591,18.41015,18.03295,17.89106,17.84927,1740,301,6,135,3.5005806713766953e+18,STAR,0.0003448066,3109,54833,574
18,1.2376623051124905e+18,205.407084233617,39.4369527690077,21.74166,21.00794,20.85136,20.74223,20.70273,3919,301,1,31,5.30198920112612e+18,STAR,-0.000317442,4709,55720,460
19,1.2376646737903624e+18,197.639571042788,37.4493036806659,25.47291,22.54016,21.32255,20.42451,20.1983,4470,301,5,83,9.986997286507663e+18,STAR,-0.0005316668,8870,57779,964
20,1.237665025986265e+18,205.627591677501,34.051200578389,21.69432,21.48734,21.24488,20.90619,20.71467,4552,301,5,214,1.1547296102488496e+19,QSO,1.524271,10256,58193,242
21,1.2376802768722332e+18,4.36519052015296,27.5298968830299,25.80712,22.13994,20.69001,19.11986,18.46607,8103,301,4,122,8.662738603020146e+18,STAR,-5.919224e-05,7694,57359,235
22,1.2376650265228088e+18,204.852985884484,34.4465025484963,23.78187,21.97055,21.64949,21.6775,21.49234,4552,301,6,209,1.154968809505111e+19,QSO,1.05986,10258,58492,752
23,1.237671122694374e+18,152.480195440951,13.6619003860295,22.52564,19.70584,18.15405,17.66362,17.30853,5972,301,1,245,6.001070243635812e+18,GALAXY,0.2492206,5330,56000,86
24,1.237678879414223e+18,9.71443811446352,-3.37374594681328,22.97882,23.88107,22.55161,22.28675,21.36329,7778,301,1,381,1.051610399609116e+19,GALAXY,0.8086147,9340,57716,723
25,1.237659326557259e+18,225.436070141502,53.7094721256203,22.80658,21.86396,20.36839,19.49558,18.92471,3225,301,5,101,7.557112575345055e+18,GALAXY,0.460694,6712,56421,263
26,1.2376672105079114e+18,132.168105352556,18.34378242956,24.10084,20.21438,18.54113,17.95626,17.58258,5061,301,2,121,5.827706950457252e+18,GALAXY,0.3293968,5176,56221,178
27,1.2376624731532823e+18,234.321757454674,37.0217116868167,21.7082,21.77546,21.63005,22.11194,21.16124,3958,301,2,34,1.2094655530867644e+19,QSO,1.953559,10742,58198,868
28,1.237679255208133e+18,34.0073318621846,-3.68068342782305,23.15353,22.08131,22.33691,21.82737,21.20383,7865,301,5,141,8.148374957224909e+18,QSO,2.65679,7237,56662,863
29,1.237667430091654e+18,135.773099669834,18.6428333997478,22.73014,22.41995,21.75384,21.24249,20.85037,5112,301,3,175,1.075918705191e+19,GALAXY,0.6190139,9556,57805,318
30,1.2376646684209324e+18,122.16687704411,20.7284213766203,23.56332,21.75752,20.35028,19.55863,19.2727,4469,301,3,72,5.045229869908384e+18,GALAXY,0.5466868,4481,55630,263
31,1.237655369282093e+18,157.467741393491,59.0295669591073,20.37512,18.43785,17.32563,16.84174,16.44641,2304,301,2,106,6.293992523799204e+17,GALAXY,0.1346461,559,52316,77
32,1.2376621950769564e+18,224.317142041856,35.7968801921385,19.50826,19.30977,19.26294,19.11028,18.99335,3893,301,4,382,1.5583477780132923e+18,QSO,2.022687,1384,53121,372
33,1.2376515398002936e+18,245.111734560518,51.522763738177,21.98609,21.65575,21.40081,21.13974,20.65556,1412,301,5,387,9.077064561023277e+18,QSO,1.978962,8062,58251,216
34,1.2376793228610767e+18,34.4520770569792,-4.67755623300499,22.72867,22.25754,21.68712,21.06987,20.67487,7881,301,3,251,9.148085018975032e+18,GALAXY,0.8732575,8125,56955,539
35,1.23766486920967e+18,132.408957059957,33.5084883948349,19.82673,18.62328,17.82371,17.39632,17.18371,4516,301,1,57,1.3624139742634575e+18,GALAXY,0.0,1210,52701,273
36,1.2376555034971348e+18,255.153403512967,36.5013856682628,23.19267,23.55811,21.74148,19.01341,17.558,2335,301,4,65,1.2072111145844234e+19,STAR,-0.000150451,10722,58281,772
37,1.2376788799593513e+18,28.4696377674982,-2.80125256429133,25.749,22.34355,19.61634,18.75085,18.44628,7778,301,2,507,4.895440925764113e+18,GALAXY,0.4781682,4348,55559,102
38,1.237667253993276e+18,129.574072146758,18.0052959386291,21.64723,19.43961,18.01498,17.45861,17.07717,5071,301,3,103,5.054165874359163e+18,GALAXY,0.2375601,4489,55545,4
